##& xmin & xmax & central value & dy & 

<histogram> 100 "log10d01 [] |X_AXIS@LIN |Y_AXIS@LOG |JETSAMPLE@0"
  +1.9800000e+00   +2.0100000e+00   +0.0000000e+00   +0.0000000e+00
  +2.0100000e+00   +2.0400000e+00   +0.0000000e+00   +0.0000000e+00
  +2.0400000e+00   +2.0700000e+00   +0.0000000e+00   +0.0000000e+00
  +2.0700000e+00   +2.1000000e+00   +0.0000000e+00   +0.0000000e+00
  +2.1000000e+00   +2.1300000e+00   +0.0000000e+00   +0.0000000e+00
  +2.1300000e+00   +2.1600000e+00   +0.0000000e+00   +0.0000000e+00
  +2.1600000e+00   +2.1900000e+00   +0.0000000e+00   +0.0000000e+00
  +2.1900000e+00   +2.2200000e+00   +0.0000000e+00   +0.0000000e+00
  +2.2200000e+00   +2.2500000e+00   +0.0000000e+00   +0.0000000e+00
  +2.2500000e+00   +2.2800000e+00   +0.0000000e+00   +0.0000000e+00
  +2.2800000e+00   +2.3100000e+00   +0.0000000e+00   +0.0000000e+00
  +2.3100000e+00   +2.3400000e+00   +0.0000000e+00   +0.0000000e+00
  +2.3400000e+00   +2.3700000e+00   +0.0000000e+00   +0.0000000e+00
  +2.3700000e+00   +2.4000000e+00   +0.0000000e+00   +0.0000000e+00
  +2.4000000e+00   +2.4300000e+00   +0.0000000e+00   +0.0000000e+00
  +2.4300000e+00   +2.4600000e+00   +0.0000000e+00   +0.0000000e+00
  +2.4600000e+00   +2.4900000e+00   +0.0000000e+00   +0.0000000e+00
  +2.4900000e+00   +2.5200000e+00   +0.0000000e+00   +0.0000000e+00
  +2.5200000e+00   +2.5500000e+00   +0.0000000e+00   +0.0000000e+00
  +2.5500000e+00   +2.5800000e+00   +0.0000000e+00   +0.0000000e+00
  +2.5800000e+00   +2.6100000e+00   +0.0000000e+00   +0.0000000e+00
  +2.6100000e+00   +2.6400000e+00   +0.0000000e+00   +0.0000000e+00
  +2.6400000e+00   +2.6700000e+00   +0.0000000e+00   +0.0000000e+00
  +2.6700000e+00   +2.7000000e+00   +0.0000000e+00   +0.0000000e+00
  +2.7000000e+00   +2.7300000e+00   +0.0000000e+00   +0.0000000e+00
  +2.7300000e+00   +2.7600000e+00   +0.0000000e+00   +0.0000000e+00
  +2.7600000e+00   +2.7900000e+00   +0.0000000e+00   +0.0000000e+00
  +2.7900000e+00   +2.8200000e+00   +0.0000000e+00   +0.0000000e+00
  +2.8200000e+00   +2.8500000e+00   +0.0000000e+00   +0.0000000e+00
  +2.8500000e+00   +2.8800000e+00   +0.0000000e+00   +0.0000000e+00
  +2.8800000e+00   +2.9100000e+00   +0.0000000e+00   +0.0000000e+00
  +2.9100000e+00   +2.9400000e+00   +0.0000000e+00   +0.0000000e+00
  +2.9400000e+00   +2.9700000e+00   +0.0000000e+00   +0.0000000e+00
  +2.9700000e+00   +3.0000000e+00   +0.0000000e+00   +0.0000000e+00
<\histogram>
##& xmin & xmax & central value & dy & 

<histogram> 100 "log10d12 [] |X_AXIS@LIN |Y_AXIS@LOG |JETSAMPLE@0"
  +0.0000000e+00   +3.0000000e-02   +1.1784320e-10   +2.3587385e-12
  +3.0000000e-02   +6.0000000e-02   +1.1633280e-10   +2.3435781e-12
  +6.0000000e-02   +9.0000000e-02   +1.4050560e-10   +2.5755657e-12
  +9.0000000e-02   +1.2000000e-01   +1.2388480e-10   +2.4184749e-12
  +1.2000000e-01   +1.5000000e-01   +1.4050560e-10   +2.5755657e-12
  +1.5000000e-01   +1.8000000e-01   +1.2841920e-10   +2.4623155e-12
  +1.8000000e-01   +2.1000000e-01   +1.2086400e-10   +2.3887764e-12
  +2.1000000e-01   +2.4000000e-01   +1.2237440e-10   +2.4037105e-12
  +2.4000000e-01   +2.7000000e-01   +1.0726720e-10   +2.2504098e-12
  +2.7000000e-01   +3.0000000e-01   +1.1179840e-10   +2.2974748e-12
  +3.0000000e-01   +3.3000000e-01   +1.2690880e-10   +2.4477774e-12
  +3.3000000e-01   +3.6000000e-01   +1.2388480e-10   +2.4184749e-12
  +3.6000000e-01   +3.9000000e-01   +1.1482240e-10   +2.3283046e-12
  +3.9000000e-01   +4.2000000e-01   +1.3597440e-10   +2.5337050e-12
  +4.2000000e-01   +4.5000000e-01   +1.0726720e-10   +2.2504098e-12
  +4.5000000e-01   +4.8000000e-01   +1.1935360e-10   +2.3738423e-12
  +4.8000000e-01   +5.1000000e-01   +1.3144000e-10   +2.4911089e-12
  +5.1000000e-01   +5.4000000e-01   +9.6691200e-11   +2.1365939e-12
  +5.4000000e-01   +5.7000000e-01   +8.4604800e-11   +1.9986232e-12
  +5.7000000e-01   +6.0000000e-01   +8.0073600e-11   +1.9443174e-12
  +6.0000000e-01   +6.3000000e-01   +9.5180800e-11   +2.1198496e-12
  +6.3000000e-01   +6.6000000e-01   +1.0575680e-10   +2.2345140e-12
  +6.6000000e-01   +6.9000000e-01   +8.6115200e-11   +2.0163857e-12
  +6.9000000e-01   +7.2000000e-01   +9.2160000e-11   +2.0859084e-12
  +7.2000000e-01   +7.5000000e-01   +7.4028800e-11   +1.8695338e-12
  +7.5000000e-01   +7.8000000e-01   +8.7625600e-11   +2.0339785e-12
  +7.8000000e-01   +8.1000000e-01   +6.9497600e-11   +1.8113813e-12
  +8.1000000e-01   +8.4000000e-01   +6.4966400e-11   +1.7513621e-12
  +8.4000000e-01   +8.7000000e-01   +4.2304000e-11   +1.4132519e-12
  +8.7000000e-01   +9.0000000e-01   +3.6259200e-11   +1.3083738e-12
  +9.0000000e-01   +9.3000000e-01   +3.1727040e-11   +1.2239170e-12
  +9.3000000e-01   +9.6000000e-01   +3.6259200e-11   +1.3083738e-12
  +9.6000000e-01   +9.9000000e-01   +2.5683840e-11   +1.1011632e-12
  +9.9000000e-01   +1.0200000e+00   +1.8129600e-11   +9.2517851e-13
  +1.0200000e+00   +1.0500000e+00   +6.0432000e-12   +5.3415412e-13
  +1.0500000e+00   +1.0800000e+00   +7.5539200e-12   +5.9719410e-13
  +1.0800000e+00   +1.1100000e+00   +4.5324800e-12   +4.6258926e-13
  +1.1100000e+00   +1.1400000e+00   +1.5108160e-12   +2.6707706e-13
  +1.1400000e+00   +1.1700000e+00   +3.0216320e-12   +3.7770250e-13
  +1.1700000e+00   +1.2000000e+00   +7.5539200e-12   +5.9719410e-13
  +1.2000000e+00   +1.2300000e+00   +1.0575680e-11   +7.0659766e-13
  +1.2300000e+00   +1.2600000e+00   +3.0216320e-12   +3.7770250e-13
  +1.2600000e+00   +1.2900000e+00   +0.0000000e+00   +0.0000000e+00
  +1.2900000e+00   +1.3200000e+00   +1.5108160e-12   +2.6707706e-13
  +1.3200000e+00   +1.3500000e+00   +0.0000000e+00   +0.0000000e+00
  +1.3500000e+00   +1.3800000e+00   +0.0000000e+00   +0.0000000e+00
  +1.3800000e+00   +1.4100000e+00   +1.5108160e-12   +2.6707706e-13
  +1.4100000e+00   +1.4400000e+00   +0.0000000e+00   +0.0000000e+00
  +1.4400000e+00   +1.4700000e+00   +1.5108160e-12   +2.6707706e-13
  +1.4700000e+00   +1.5000000e+00   +0.0000000e+00   +0.0000000e+00
  +1.5000000e+00   +1.5300000e+00   +0.0000000e+00   +0.0000000e+00
  +1.5300000e+00   +1.5600000e+00   +0.0000000e+00   +0.0000000e+00
  +1.5600000e+00   +1.5900000e+00   +0.0000000e+00   +0.0000000e+00
  +1.5900000e+00   +1.6200000e+00   +0.0000000e+00   +0.0000000e+00
  +1.6200000e+00   +1.6500000e+00   +0.0000000e+00   +0.0000000e+00
  +1.6500000e+00   +1.6800000e+00   +0.0000000e+00   +0.0000000e+00
  +1.6800000e+00   +1.7100000e+00   +0.0000000e+00   +0.0000000e+00
  +1.7100000e+00   +1.7400000e+00   +0.0000000e+00   +0.0000000e+00
  +1.7400000e+00   +1.7700000e+00   +0.0000000e+00   +0.0000000e+00
  +1.7700000e+00   +1.8000000e+00   +0.0000000e+00   +0.0000000e+00
